,Ang. Edge East,Ang. Edge West,Ang. Plane FUPT,ConeRad1,ConeRad2,G:S,Ge,Gw,HeightEast,HeightWest,Latitude,Longitude,ObjID,Se,Site,Sw,WidthBB,WidthBF,WidthMF,WidthTB,WidthTF,aver. Width type,aver. Height,aver. Height type,aver. Width,cal. Lat. Edge East,cal. Lat. Edge West,cal. Lat. FUPT,opening Angle,opening Width
57,65.3729,65.3729,65.3729,92.1067,106.048,1 : 0.458408,158.922,153.46,218.752,214.516,45.5458,12.4019,185,72.851,Altino,70.3475,194.237,unknown,202.632,198.157,211.911,calculated,216.634,calculated,201.734,24.6271,24.6271,24.6271,4.65491,184.162
58,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,339.187,unknown,unknown,unknown,182,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,estimated,339.187,calculated,333.517,unknown,unknown,unknown,unknown,unknown
59,54.6879,54.6879,54.6879,unknown,unknown,1 : 0.708357,unknown,unknown,391.246,387.331,37.49,27.526,151,unknown,Latmos,unknown,448.895,unknown,unknown,446.759,445.939,calculated,389.289,calculated,447.198,35.3121,35.3121,35.3121,unknown,unknown
60,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,36.336,27.921,139,unknown,Rhodes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
61,unknown,unknown,55.803,unknown,unknown,1 : 0.679523,unknown,unknown,unknown,unknown,36.42,28.2,138,unknown,Rhodes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,34.197,unknown,unknown
62,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,36.44,28.218,137,unknown,Rhodes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
63,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,36.42,28.2,136,unknown,Rhodes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
64,47.006,46.985,47.01,98.9303,100.144,1 : 0.932189,33.3373,31.5239,unknown,unknown,37.97,23.72,108,31.0767,Athens,29.3862,228.29,232.719,229.788,unknown,229.779,calculated,80.4216,minimal,230.144,42.994,43.015,42.99,37.7904,233.132
65,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,100,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
66,40.627,40.734,41.225,210.482,234.927,1 : 1.14129,11.9506,57.3921,unknown,unknown,42.0913,12.5231,17,13.6391,Riano,65.5008,unknown,unknown,464.663,unknown,473.304,calculated,220.015,minimal,468.984,49.373,49.266,48.775,6.48581,451.918
67,46.525,unknown,46.525,unknown,unknown,1 : 0.948136,92.7935,unknown,148.267,unknown,37.971,23.726,112,87.9808,Athens,unknown,unknown,unknown,unknown,unknown,unknown,estimated,148.267,calculated,152.671,43.475,unknown,43.475,unknown,unknown
68,53.3457,53.3457,53.3457,147.793,147.798,1 : 0.744137,169.197,173.542,290.812,302.279,37.9704,23.7276,107,125.906,Athens,129.139,341.081,341.298,340.543,339.283,339.875,calculated,296.546,calculated,340.416,36.6543,36.6543,36.6543,22.0567,282.011
69,52.5847,52.5847,52.5847,150.947,150.956,1 : 0.764981,183.46,180.533,250.851,250.66,37.971,23.726,113,140.343,Athens,138.104,319.735,304.905,311.883,326.198,307.371,calculated,250.756,calculated,314.018,37.4153,37.4153,37.4153,32.9178,286.449
70,63.2981,63.2981,63.2981,102.386,102.474,1 : 0.502989,125.39,121.27,225.879,223.098,37.9704,23.7276,103,63.0697,Athens,60.9977,241.247,244.245,242.956,241.004,244.367,calculated,224.489,calculated,242.764,26.7019,26.7019,26.7019,27.9207,202.957
71,unknown,57.004,57.028,unknown,unknown,1 : 0.648713,unknown,unknown,unknown,unknown,37.971,23.726,114,unknown,Athens,unknown,unknown,unknown,unknown,unknown,unknown,estimated,158.76,minimal,245.088,unknown,32.996,32.972,unknown,unknown
72,unknown,66.307,66.373,unknown,unknown,1 : 0.437451,unknown,118.069,unknown,unknown,37.971,23.726,115,unknown,Athens,51.6494,unknown,unknown,unknown,unknown,unknown,estimated,193.534,minimal,214.131,unknown,23.693,23.627,unknown,unknown
73,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,37.971,23.726,116,unknown,Athens,unknown,unknown,unknown,unknown,unknown,unknown,estimated,160.315,minimal,287.828,unknown,unknown,unknown,unknown,unknown
74,unknown,unknown,unknown,85.7745,85.8179,unknown,unknown,unknown,unknown,unknown,37.39,25.26,127,unknown,Delos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,19.8577,160.657
75,unknown,unknown,unknown,139.046,139.136,unknown,unknown,unknown,unknown,unknown,37.39,25.26,129,unknown,Delos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,52.7161,unknown
76,unknown,unknown,unknown,88.3869,88.4454,unknown,unknown,unknown,unknown,unknown,37.39,25.26,130,unknown,Delos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,33.2057,166.522
77,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,16.2687,33.2764,193,unknown,Naga,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
